description,keyword,qty,price,supplier,barcode,"batch code",brand,category,safety
"Green Tool",item,474,17.37,SupplierC,830212875694,B3382,BrandZ,Toys,Medium
"Red Widget",gadget,268,67.20,SupplierA,598983068667,B8803,BrandZ,Electronics,Critical
"Purple Item",device,301,40.99,SupplierD,738575915301,B8004,BrandY,Household,Medium
"Purple Item",gadget,139,25.77,SupplierA,500737817976,B7959,BrandY,Automotive,Critical
"Purple Item",device,33,68.98,SupplierB,124140086695,B8956,BrandZ,Household,Medium
"Blue Gadget",gadget,35,86.88,SupplierC,123473052377,B3543,BrandX,Toys,Medium
"Red Widget",widget,271,30.44,SupplierD,956231778020,B7500,BrandZ,Toys,Medium
"Yellow Device",widget,471,2.50,SupplierD,577563944020,B5815,BrandZ,Automotive,Critical
"Red Widget",gadget,465,30.95,SupplierA,867883233653,B2958,BrandZ,Household,Critical
"Green Tool",gadget,94,18.88,SupplierD,474487123346,B7409,BrandY,Electronics,Critical
"Blue Gadget",item,440,70.77,SupplierA,413582216855,B9259,BrandZ,Electronics,Low
"Purple Item",device,454,92.30,SupplierA,699753083487,B3166,BrandX,Outdoor,Medium
"Purple Item",tool,177,20.72,SupplierD,590968873178,B4684,BrandZ,Outdoor,Medium
"Yellow Device",widget,381,39.02,SupplierB,291335346859,B6777,BrandZ,Toys,Low
"Red Widget",item,257,39.21,SupplierD,991331824553,B7271,BrandY,Toys,Critical
"Purple Item",item,144,75.15,SupplierA,214660601631,B8146,BrandX,Household,High
"Red Widget",device,352,19.98,SupplierC,143432239612,B1860,BrandX,Toys,Critical
"Green Tool",device,195,19.04,SupplierD,522860672673,B7301,BrandX,Electronics,Low
"Green Tool",item,299,84.55,SupplierB,130679531179,B2750,BrandZ,Automotive,Low
"Blue Gadget",tool,450,53.86,SupplierB,656928859657,B7251,BrandY,Toys,High
"Red Widget",item,458,75.85,SupplierC,221008443601,B2664,BrandY,Household,Medium
"Red Widget",gadget,200,14.86,SupplierC,468453111135,B9972,BrandY,Electronics,Critical
"Red Widget",tool,369,10.19,SupplierB,333527738298,B1135,BrandY,Toys,Critical
"Green Tool",widget,320,80.13,SupplierD,985977891307,B3759,BrandZ,Toys,Medium
"Green Tool",item,393,19.32,SupplierC,873941025598,B7649,BrandZ,Electronics,Critical
"Blue Gadget",device,485,52.65,SupplierB,872060381816,B6454,BrandZ,Household,Critical
"Blue Gadget",gadget,127,10.48,SupplierD,322328299806,B2618,BrandY,Toys,Medium
"Yellow Device",gadget,314,81.49,SupplierD,971502194277,B8906,BrandX,Toys,Low
"Yellow Device",device,288,69.41,SupplierB,273314689837,B6665,BrandZ,Automotive,Medium
"Red Widget",tool,433,60.22,SupplierC,232416540519,B9565,BrandY,Household,Medium
"Green Tool",widget,217,93.72,SupplierA,257004539243,B2639,BrandX,Toys,Medium
"Blue Gadget",gadget,430,56.64,SupplierC,503147622482,B6505,BrandX,Electronics,High
"Purple Item",item,360,77.01,SupplierA,988156169512,B5692,BrandZ,Outdoor,Medium
"Blue Gadget",widget,246,62.77,SupplierB,117222239577,B2214,BrandZ,Automotive,High
"Blue Gadget",tool,428,92.46,SupplierB,572600840695,B8810,BrandZ,Household,Medium
"Blue Gadget",gadget,80,99.68,SupplierD,347739715980,B5246,BrandY,Electronics,Medium
"Yellow Device",tool,33,52.58,SupplierC,658557462525,B6428,BrandZ,Outdoor,High
"Red Widget",tool,252,3.67,SupplierD,961503247024,B5740,BrandZ,Electronics,Critical
"Green Tool",device,357,98.88,SupplierD,861481051980,B8186,BrandY,Outdoor,High
"Yellow Device",widget,134,79.85,SupplierD,512564276576,B1594,BrandZ,Household,Critical
"Red Widget",tool,281,81.81,SupplierC,860129887294,B9620,BrandY,Household,Medium
"Blue Gadget",widget,355,26.36,SupplierA,798224929710,B5039,BrandZ,Electronics,Critical
"Purple Item",widget,129,18.05,SupplierA,433922315225,B4291,BrandX,Toys,Critical
"Blue Gadget",widget,371,37.75,SupplierD,128353200303,B5991,BrandY,Toys,Critical
"Blue Gadget",tool,148,73.68,SupplierA,874548377929,B7162,BrandZ,Toys,Low
"Yellow Device",item,133,82.50,SupplierD,658400810876,B2014,BrandX,Household,High
"Blue Gadget",device,26,87.26,SupplierC,782983233591,B6714,BrandZ,Toys,High
"Green Tool",gadget,307,95.53,SupplierB,998058249428,B2868,BrandX,Household,Low
"Blue Gadget",device,208,80.53,SupplierC,229838157911,B7798,BrandY,Outdoor,Critical
"Blue Gadget",device,255,73.10,SupplierD,632587709677,B3499,BrandZ,Automotive,High
"Purple Item",device,113,99.82,SupplierD,149056694892,B1135,BrandY,Toys,Critical
"Purple Item",gadget,176,52.50,SupplierD,111317323038,B9099,BrandY,Outdoor,Medium
"Purple Item",tool,238,79.55,SupplierA,320347769896,B4400,BrandY,Automotive,High
"Yellow Device",item,96,88.40,SupplierC,905562604694,B6850,BrandX,Electronics,High
"Green Tool",item,277,21.46,SupplierC,852269339298,B1040,BrandZ,Automotive,Critical
"Green Tool",widget,102,86.75,SupplierA,285514529656,B7294,BrandZ,Household,High
"Blue Gadget",gadget,335,31.77,SupplierD,544400254568,B6516,BrandX,Outdoor,Critical
"Red Widget",gadget,31,3.17,SupplierA,812698949137,B8354,BrandX,Outdoor,Medium
"Red Widget",device,492,97.48,SupplierD,503706422004,B3209,BrandY,Household,Critical
"Purple Item",device,489,29.47,SupplierC,544280685623,B1959,BrandX,Outdoor,Critical
"Green Tool",item,100,64.62,SupplierA,615878924083,B3573,BrandY,Toys,Critical
"Purple Item",gadget,428,41.98,SupplierC,499508510869,B5691,BrandY,Toys,High
"Green Tool",device,104,58.59,SupplierB,589359644473,B4543,BrandZ,Electronics,Critical
"Yellow Device",item,293,44.66,SupplierB,998804670032,B4556,BrandZ,Electronics,Medium
"Yellow Device",gadget,97,76.82,SupplierC,527065025134,B1830,BrandY,Automotive,Low
"Red Widget",gadget,191,54.90,SupplierB,322424268116,B1869,BrandZ,Automotive,Low
"Green Tool",device,252,68.65,SupplierC,957933881910,B9640,BrandZ,Household,High
"Green Tool",device,34,85.60,SupplierA,768946923781,B8659,BrandY,Electronics,High
"Purple Item",device,444,56.12,SupplierD,988786717178,B5478,BrandY,Outdoor,Medium
"Green Tool",widget,353,85.13,SupplierA,796040497582,B2634,BrandY,Automotive,Critical
"Green Tool",tool,445,49.95,SupplierB,163954935514,B9040,BrandX,Outdoor,High
"Green Tool",item,126,31.77,SupplierB,857386357000,B4871,BrandZ,Household,Medium
"Green Tool",item,96,23.74,SupplierD,382819134668,B3965,BrandY,Outdoor,Critical
"Red Widget",tool,290,65.75,SupplierC,331282723139,B8514,BrandY,Outdoor,Low
"Green Tool",widget,294,16.34,SupplierB,751881008562,B9352,BrandX,Electronics,Medium
"Green Tool",gadget,19,76.37,SupplierC,566012858116,B7682,BrandY,Outdoor,Critical
"Red Widget",widget,430,46.04,SupplierC,461281218371,B9933,BrandY,Outdoor,Low
"Red Widget",tool,314,60.33,SupplierA,387719904023,B8228,BrandZ,Toys,Medium
"Yellow Device",widget,379,41.85,SupplierD,867231867175,B8129,BrandZ,Electronics,Critical
"Yellow Device",gadget,113,38.95,SupplierA,271411134185,B4910,BrandX,Electronics,Low
"Purple Item",widget,52,42.13,SupplierD,152936559026,B4916,BrandX,Electronics,High
"Red Widget",tool,31,20.89,SupplierC,816103463357,B6960,BrandX,Toys,Low
"Green Tool",device,114,81.34,SupplierC,234026044736,B1147,BrandY,Household,Medium
"Green Tool",gadget,244,92.48,SupplierA,893556744010,B3828,BrandX,Toys,Low
"Blue Gadget",widget,230,85.95,SupplierD,992545785706,B6302,BrandZ,Automotive,Medium
"Purple Item",widget,420,24.77,SupplierC,152909831852,B6609,BrandY,Outdoor,Low
"Blue Gadget",widget,270,11.15,SupplierB,223053027237,B3486,BrandZ,Automotive,Medium
"Green Tool",item,93,62.91,SupplierB,411462024017,B9411,BrandY,Outdoor,Medium
"Green Tool",tool,258,90.13,SupplierA,231336081823,B5047,BrandZ,Household,Medium
"Yellow Device",gadget,138,8.49,SupplierA,569922154467,B5964,BrandX,Automotive,Low
"Blue Gadget",item,175,86.12,SupplierD,479437792392,B5979,BrandX,Outdoor,High
"Yellow Device",gadget,79,56.85,SupplierD,706650558879,B7281,BrandZ,Household,Critical
"Yellow Device",tool,433,69.91,SupplierB,937726898730,B1930,BrandX,Toys,High
"Yellow Device",device,205,6.70,SupplierA,677764254067,B7201,BrandX,Automotive,Low
"Green Tool",item,68,93.49,SupplierD,160859159405,B1275,BrandZ,Electronics,Low
"Blue Gadget",device,244,10.66,SupplierA,101081369067,B2501,BrandZ,Toys,High
"Red Widget",widget,187,76.23,SupplierD,876081993309,B6954,BrandX,Electronics,Low
"Green Tool",device,380,62.07,SupplierB,244266261012,B6904,BrandZ,Toys,Low
"Blue Gadget",widget,227,20.59,SupplierD,970521869803,B3417,BrandY,Electronics,Medium
"Blue Gadget",device,160,96.72,SupplierD,534223152820,B4253,BrandY,Household,Critical
"Yellow Device",tool,475,59.93,SupplierC,999648685036,B9965,BrandY,Automotive,Medium
"Purple Item",widget,368,71.72,SupplierD,944503494816,B1868,BrandX,Outdoor,Low
"Red Widget",item,455,62.37,SupplierC,695164768826,B2231,BrandY,Outdoor,Low
"Blue Gadget",device,131,74.72,SupplierB,969288038539,B3347,BrandX,Toys,Low
"Yellow Device",device,200,96.90,SupplierC,722261953580,B4032,BrandZ,Outdoor,High
"Yellow Device",gadget,48,50.21,SupplierC,328709739297,B2396,BrandZ,Electronics,Critical
"Purple Item",gadget,403,13.59,SupplierD,775236498983,B8124,BrandY,Household,Critical
"Purple Item",device,131,83.16,SupplierA,875237459822,B9935,BrandZ,Toys,High
"Green Tool",item,424,31.39,SupplierD,156129959193,B2656,BrandY,Household,Medium
"Blue Gadget",tool,101,86.47,SupplierC,614658822925,B9706,BrandZ,Automotive,Critical
"Green Tool",tool,133,77.21,SupplierD,258573417272,B9334,BrandY,Electronics,Low
"Purple Item",widget,404,97.34,SupplierD,216588738813,B3598,BrandY,Outdoor,Medium
"Green Tool",widget,422,59.01,SupplierA,423575469636,B2789,BrandY,Toys,Low
"Blue Gadget",widget,415,72.04,SupplierB,851378653808,B1582,BrandY,Toys,High
"Purple Item",device,413,15.98,SupplierC,496625691267,B2804,BrandX,Household,Medium
"Green Tool",widget,133,49.67,SupplierA,799616998332,B1887,BrandZ,Electronics,Medium
"Yellow Device",item,203,40.28,SupplierC,563594162366,B8419,BrandY,Outdoor,High
"Blue Gadget",item,272,43.92,SupplierB,778066350644,B1513,BrandX,Automotive,Critical
"Blue Gadget",tool,393,80.80,SupplierD,818536679040,B3854,BrandX,Automotive,Low
"Purple Item",tool,393,6.33,SupplierD,106557936911,B4882,BrandZ,Automotive,Low
"Red Widget",tool,417,11.47,SupplierD,108999061547,B4330,BrandY,Electronics,Medium
"Red Widget",widget,467,15.59,SupplierD,690837693243,B1567,BrandZ,Household,Medium
"Blue Gadget",gadget,241,41.98,SupplierC,530349421204,B9038,BrandY,Toys,High
"Red Widget",device,109,71.81,SupplierB,696065586896,B3397,BrandX,Automotive,Low
"Yellow Device",tool,17,43.00,SupplierC,836111486165,B3693,BrandY,Automotive,Low
"Blue Gadget",item,472,88.47,SupplierA,847958098557,B5119,BrandY,Electronics,High
"Blue Gadget",item,384,10.82,SupplierB,397618886765,B6845,BrandX,Household,Critical
"Yellow Device",device,399,2.17,SupplierA,238793843421,B8567,BrandZ,Toys,Critical
"Yellow Device",tool,2,2.71,SupplierC,760004966545,B5685,BrandZ,Household,High
"Blue Gadget",widget,2,61.77,SupplierA,855124907173,B4352,BrandY,Electronics,High
"Yellow Device",device,470,55.08,SupplierC,272662476878,B6909,BrandY,Household,High
"Blue Gadget",gadget,34,61.82,SupplierA,109281582184,B7325,BrandY,Household,High
"Purple Item",device,66,75.36,SupplierD,882089252429,B2405,BrandX,Toys,Critical
"Yellow Device",tool,217,53.61,SupplierC,478445442363,B2653,BrandZ,Outdoor,Critical
"Green Tool",gadget,488,94.05,SupplierA,841182797483,B1163,BrandZ,Electronics,Critical
"Blue Gadget",widget,442,32.36,SupplierC,266912063907,B3659,BrandY,Automotive,Critical
"Green Tool",widget,299,72.31,SupplierA,998534758324,B7725,BrandZ,Automotive,High
"Green Tool",widget,219,83.45,SupplierB,513233821690,B5033,BrandY,Electronics,Low
"Yellow Device",item,65,83.60,SupplierA,646665639520,B8038,BrandY,Electronics,Low
"Blue Gadget",gadget,189,72.44,SupplierA,637488242528,B5263,BrandY,Outdoor,Low
"Blue Gadget",item,428,83.29,SupplierB,809442676362,B2566,BrandY,Outdoor,Low
"Yellow Device",item,406,54.06,SupplierB,504841312475,B1318,BrandZ,Outdoor,Low
"Blue Gadget",item,66,23.05,SupplierD,125092687152,B8835,BrandZ,Automotive,Low
"Yellow Device",device,104,19.28,SupplierB,721505665927,B3805,BrandY,Household,High
"Purple Item",device,212,50.54,SupplierD,709290904552,B5835,BrandZ,Toys,Critical
"Red Widget",device,253,45.31,SupplierB,111732652284,B5536,BrandY,Toys,Critical
"Yellow Device",gadget,265,90.43,SupplierB,729811271650,B4906,BrandZ,Automotive,Medium
"Red Widget",tool,434,67.12,SupplierD,123834459315,B5832,BrandY,Automotive,High
"Purple Item",gadget,197,89.82,SupplierB,447053541713,B5286,BrandZ,Automotive,High
"Blue Gadget",widget,284,15.24,SupplierA,659061441266,B1212,BrandX,Toys,Medium
"Green Tool",item,76,32.31,SupplierD,738604710311,B8061,BrandY,Automotive,Medium
"Green Tool",widget,174,66.20,SupplierA,603808869169,B9761,BrandX,Electronics,High
"Green Tool",device,342,38.53,SupplierD,499200855116,B1691,BrandX,Automotive,Low
"Red Widget",widget,44,29.90,SupplierB,175900784296,B7807,BrandX,Toys,Critical
"Yellow Device",widget,194,34.11,SupplierB,978468511509,B2989,BrandY,Electronics,High
"Red Widget",widget,303,82.16,SupplierD,943416925168,B6053,BrandZ,Automotive,Low
"Purple Item",gadget,363,4.13,SupplierC,694851481488,B4372,BrandX,Electronics,Medium
"Red Widget",tool,490,41.23,SupplierB,611166240951,B9732,BrandY,Automotive,High
"Blue Gadget",gadget,198,59.51,SupplierA,466115138387,B5870,BrandX,Toys,Medium
"Yellow Device",widget,353,20.10,SupplierB,439721158057,B1040,BrandX,Electronics,Critical
"Blue Gadget",widget,412,80.48,SupplierC,258267726269,B1833,BrandX,Outdoor,Medium
"Yellow Device",item,86,35.19,SupplierC,685703063917,B4233,BrandZ,Outdoor,Medium
"Green Tool",gadget,32,9.81,SupplierB,367536302226,B3399,BrandY,Household,Critical
"Purple Item",device,445,55.23,SupplierB,721171773832,B9781,BrandX,Outdoor,Medium
"Red Widget",gadget,89,26.69,SupplierA,592416450451,B3008,BrandY,Automotive,Medium
"Purple Item",tool,262,37.19,SupplierA,959019952945,B7311,BrandY,Electronics,Critical
"Red Widget",item,234,74.72,SupplierB,798622005615,B3399,BrandZ,Household,Low
"Yellow Device",tool,20,31.69,SupplierC,833402162551,B6367,BrandY,Outdoor,High
"Green Tool",widget,398,77.55,SupplierC,811407972300,B3027,BrandX,Electronics,Medium
"Blue Gadget",widget,115,89.90,SupplierA,878833949899,B6366,BrandX,Household,Critical
"Red Widget",gadget,479,61.81,SupplierD,930529007363,B5530,BrandZ,Automotive,Low
"Green Tool",item,28,24.93,SupplierD,252317449670,B4825,BrandZ,Outdoor,Medium
"Yellow Device",gadget,280,21.21,SupplierC,897933744779,B3562,BrandY,Household,High
"Blue Gadget",item,448,97.47,SupplierC,576220698920,B3474,BrandZ,Outdoor,High
"Red Widget",widget,383,41.34,SupplierB,840574435451,B1468,BrandZ,Toys,High
"Purple Item",device,26,13.25,SupplierD,129410356345,B5435,BrandX,Toys,Critical
"Purple Item",widget,496,64.00,SupplierB,390276307798,B1484,BrandX,Automotive,High
"Red Widget",widget,220,12.78,SupplierC,253305152388,B8759,BrandX,Household,High
"Purple Item",gadget,473,87.64,SupplierD,287385745433,B9644,BrandX,Household,Medium
"Green Tool",tool,5,30.08,SupplierD,553944641269,B4499,BrandX,Household,Medium
"Yellow Device",device,316,47.46,SupplierB,112862936800,B7781,BrandY,Household,Medium
"Purple Item",widget,74,7.54,SupplierB,552441451599,B9690,BrandX,Household,Medium
"Red Widget",widget,75,77.40,SupplierA,274112563694,B9596,BrandX,Electronics,Low
"Blue Gadget",widget,320,17.44,SupplierC,181089237851,B5344,BrandY,Electronics,High
"Red Widget",tool,437,9.30,SupplierC,863207780810,B5800,BrandZ,Outdoor,Medium
"Blue Gadget",widget,143,16.87,SupplierA,492605060066,B4215,BrandX,Toys,Medium
"Green Tool",widget,67,10.78,SupplierD,383717976284,B6539,BrandY,Electronics,Low
"Red Widget",device,202,54.66,SupplierB,713649614370,B1375,BrandX,Outdoor,Medium
"Blue Gadget",item,385,80.60,SupplierD,917313224554,B6833,BrandZ,Outdoor,Critical
"Yellow Device",device,439,66.90,SupplierB,728184017493,B3817,BrandX,Electronics,Medium
"Yellow Device",widget,296,77.36,SupplierA,996697981884,B3187,BrandZ,Automotive,Medium
"Purple Item",gadget,399,91.99,SupplierC,991973832734,B3441,BrandX,Outdoor,Low
"Red Widget",gadget,440,98.32,SupplierC,271705442373,B6841,BrandZ,Automotive,Critical
"Blue Gadget",device,110,36.74,SupplierC,918146721979,B8340,BrandX,Outdoor,Critical
"Red Widget",device,202,82.76,SupplierA,448257390431,B2004,BrandX,Electronics,Critical
"Blue Gadget",device,233,44.71,SupplierC,791471168365,B4307,BrandY,Toys,High
"Green Tool",device,488,45.22,SupplierA,657101792674,B2084,BrandX,Outdoor,Low
"Yellow Device",device,210,85.52,SupplierC,289289093070,B1421,BrandZ,Toys,Low
"Green Tool",item,277,72.57,SupplierB,715420860128,B8894,BrandY,Electronics,Medium
"Green Tool",device,167,38.35,SupplierA,751336607276,B8234,BrandY,Electronics,Medium
"Green Tool",gadget,247,17.31,SupplierB,446913400357,B8880,BrandY,Electronics,Low
"Green Tool",gadget,54,2.89,SupplierC,561546349206,B7460,BrandY,Automotive,Critical
"Red Widget",gadget,64,35.03,SupplierA,923521881277,B8411,BrandZ,Automotive,Low
"Red Widget",tool,100,86.86,SupplierB,619825066824,B4093,BrandX,Automotive,Medium
"Green Tool",tool,372,97.83,SupplierB,995792571698,B7100,BrandX,Toys,Low
"Blue Gadget",device,70,17.06,SupplierC,837124949087,B5871,BrandY,Household,High
"Green Tool",item,494,29.09,SupplierD,188046068153,B5838,BrandZ,Automotive,Critical
"Purple Item",item,444,98.33,SupplierA,486337116103,B9046,BrandZ,Automotive,Critical
"Blue Gadget",device,362,44.29,SupplierC,880998300888,B8193,BrandZ,Outdoor,Medium
"Green Tool",item,105,52.91,SupplierC,297654111769,B6152,BrandY,Electronics,Medium
"Blue Gadget",tool,259,93.64,SupplierA,409076498083,B4206,BrandY,Toys,Critical
"Green Tool",gadget,57,93.59,SupplierB,463151959699,B1559,BrandY,Outdoor,Critical
"Blue Gadget",tool,166,77.21,SupplierC,831969523448,B5944,BrandZ,Outdoor,Medium
"Blue Gadget",gadget,402,27.55,SupplierC,700107220223,B2296,BrandZ,Household,High
"Green Tool",widget,372,31.83,SupplierB,661419518470,B2508,BrandZ,Outdoor,Low
"Red Widget",device,162,69.60,SupplierB,229513251863,B6296,BrandX,Household,Critical
"Red Widget",gadget,489,46.61,SupplierB,483029909275,B1635,BrandZ,Household,High
"Yellow Device",tool,403,88.17,SupplierA,311439870460,B9421,BrandZ,Electronics,High
"Green Tool",device,209,52.39,SupplierB,816149673415,B9707,BrandX,Household,High
"Red Widget",device,475,42.31,SupplierA,795038453726,B4855,BrandY,Automotive,High
"Blue Gadget",device,480,84.06,SupplierB,188288383605,B7092,BrandY,Electronics,High
"Blue Gadget",item,249,13.27,SupplierC,912502471696,B3525,BrandZ,Household,High
"Yellow Device",device,219,16.71,SupplierA,807793502963,B6871,BrandY,Electronics,Medium
"Red Widget",widget,351,36.11,SupplierA,223999070843,B8993,BrandY,Outdoor,Medium
"Blue Gadget",tool,254,89.74,SupplierA,319053359179,B7413,BrandX,Household,High
"Yellow Device",item,53,38.82,SupplierB,254171791342,B7480,BrandY,Household,Critical
"Blue Gadget",gadget,431,22.98,SupplierA,463419345317,B9263,BrandZ,Household,Low
"Green Tool",widget,90,18.97,SupplierB,807178539309,B9127,BrandY,Electronics,High
"Red Widget",gadget,106,61.13,SupplierC,480343606976,B8283,BrandY,Electronics,Low
"Blue Gadget",device,392,77.82,SupplierD,468832241135,B1556,BrandZ,Toys,High
"Yellow Device",widget,79,75.99,SupplierB,940302396261,B5607,BrandY,Toys,Critical
"Purple Item",item,123,6.31,SupplierC,904248263662,B2898,BrandZ,Automotive,Critical
"Red Widget",gadget,220,42.30,SupplierA,656240132241,B1589,BrandY,Household,High
"Yellow Device",widget,200,71.55,SupplierD,597989329375,B3203,BrandY,Household,Critical
"Purple Item",widget,472,44.54,SupplierD,886704011270,B2666,BrandZ,Electronics,Medium
"Blue Gadget",widget,456,83.75,SupplierA,862761775602,B9076,BrandY,Automotive,Medium
"Blue Gadget",tool,88,81.22,SupplierC,333443509512,B2588,BrandX,Outdoor,Medium
"Green Tool",tool,499,26.23,SupplierD,639053278567,B8466,BrandZ,Electronics,High
"Yellow Device",widget,215,67.80,SupplierA,653952843162,B5342,BrandZ,Household,High
"Purple Item",tool,226,76.07,SupplierC,759157813406,B3620,BrandX,Electronics,Low
"Purple Item",device,160,12.16,SupplierA,231999472937,B7873,BrandZ,Outdoor,High
"Blue Gadget",tool,361,44.07,SupplierD,977706752223,B3235,BrandY,Automotive,Critical
"Red Widget",device,153,28.55,SupplierC,612561002015,B8034,BrandY,Toys,Low
"Red Widget",gadget,110,90.74,SupplierA,619735463777,B7131,BrandZ,Electronics,Low
"Yellow Device",item,498,65.53,SupplierD,712347348238,B5462,BrandY,Household,Critical
"Blue Gadget",tool,372,57.91,SupplierC,476805487177,B1259,BrandZ,Electronics,High
"Yellow Device",item,170,45.66,SupplierC,574479448190,B8147,BrandZ,Automotive,Low
"Blue Gadget",device,33,98.05,SupplierA,747034388696,B7873,BrandX,Toys,Low
"Yellow Device",tool,436,71.93,SupplierD,634139177884,B6002,BrandY,Automotive,Medium
"Red Widget",gadget,355,70.74,SupplierC,144739450694,B9918,BrandZ,Automotive,Medium
"Green Tool",device,21,86.47,SupplierD,328634844108,B5926,BrandY,Automotive,High
"Red Widget",device,430,43.05,SupplierA,399721110931,B1618,BrandZ,Automotive,Medium
"Purple Item",widget,121,80.62,SupplierB,315065925516,B4916,BrandZ,Toys,High
"Green Tool",item,66,59.35,SupplierB,580004968100,B7781,BrandY,Automotive,High
"Yellow Device",gadget,278,2.36,SupplierB,890885823739,B8512,BrandY,Outdoor,Critical
"Red Widget",gadget,381,55.66,SupplierD,810419602447,B9543,BrandY,Automotive,Low
"Green Tool",tool,403,59.10,SupplierD,126746781336,B5055,BrandZ,Household,Critical
"Red Widget",tool,301,54.45,SupplierC,173197453980,B4400,BrandY,Automotive,Critical
"Blue Gadget",gadget,169,6.69,SupplierB,125791981009,B9876,BrandX,Automotive,Medium
"Purple Item",item,155,69.10,SupplierD,726399932834,B1184,BrandY,Toys,Medium
"Yellow Device",widget,186,69.32,SupplierD,575946282676,B3304,BrandZ,Toys,Critical
